previous_system,previous_stream,academic_performance,strong_subject,weak_area,interest_area,study_independence,study_hours,analytical_skill,problem_handling,tuition_access,study_preference,career_clarity,decision_factor,confidence_level,target_stream
O-Level,Commerce,Below Average,Commerce,Memorization,Research,Yes,Yes,Strongly Agree,Keep Trying,No,Exams,Somewhat,Family,Not confident,Pre-Medical
O-Level,Commerce,Excellent,Arts,Writing,Creative,Yes,No,Disagree,Avoid,Limited,Exams,Not clear,Interest,Confident,Arts
Matric,Commerce,Good,Commerce,Science,Problem solving,No,No,Agree,Keep Trying,Yes,Exams,Clear,Interest,Not confident,Pre-Engineering
Matric,Pre-Engineering,Below Average,Math,Memorization,Research,Yes,Sometimes,Neutral,Ask Help,Limited,Continuous,Not clear,Interest,Not confident,Pre-Medical
O-Level,Arts,Average,Biology,Science,Problem solving,No,Sometimes,Strongly Agree,Keep Trying,Yes,Exams,Somewhat,Family,Confident,Pre-Medical
Matric,Arts,Excellent,Physics,Writing,Problem solving,Somewhat,No,Strongly Agree,Keep Trying,Yes,Exams,Clear,Interest,Not confident,Pre-Engineering
O-Level,Pre-Medical,Excellent,Commerce,Writing,Research,Yes,No,Strongly Agree,Ask Help,No,Continuous,Somewhat,Family,Unsure,Pre-Medical
Matric,Commerce,Average,Biology,Memorization,Research,No,Sometimes,Neutral,Keep Trying,No,Exams,Not clear,Career,Unsure,Pre-Medical
O-Level,Commerce,Good,Commerce,Memorization,Research,Yes,No,Neutral,Keep Trying,Limited,Continuous,Not clear,Career,Not confident,Pre-Medical
Matric,Commerce,Good,Physics,Math,Business,Somewhat,Yes,Agree,Avoid,Yes,Exams,Clear,Family,Not confident,Pre-Engineering
O-Level,Pre-Medical,Excellent,Arts,Science,Creative,Somewhat,Yes,Neutral,Keep Trying,Yes,Exams,Not clear,Interest,Unsure,Arts
O-Level,Arts,Average,Biology,Math,Problem solving,Somewhat,No,Agree,Ask Help,No,Continuous,Clear,Peer,Confident,Pre-Medical
Matric,Pre-Engineering,Good,Biology,Memorization,Research,No,Sometimes,Disagree,Avoid,Limited,Continuous,Clear,Peer,Unsure,Pre-Medical
O-Level,Arts,Good,Commerce,Memorization,Business,Somewhat,No,Neutral,Ask Help,No,Continuous,Not clear,Family,Not confident,Commerce
Matric,Arts,Excellent,Physics,Memorization,Problem solving,No,No,Agree,Keep Trying,No,Exams,Clear,Peer,Confident,Pre-Engineering
Matric,Pre-Medical,Good,Biology,Memorization,Creative,No,Yes,Strongly Agree,Avoid,Limited,Continuous,Clear,Career,Not confident,Pre-Medical
O-Level,Pre-Engineering,Good,Physics,Writing,Problem solving,No,Sometimes,Strongly Agree,Avoid,Limited,Continuous,Somewhat,Family,Confident,Pre-Engineering
Matric,Pre-Engineering,Excellent,Commerce,Writing,Creative,Somewhat,Yes,Agree,Keep Trying,No,Exams,Somewhat,Career,Not confident,Arts
O-Level,Commerce,Average,Arts,Memorization,Research,Yes,Sometimes,Neutral,Avoid,No,Continuous,Clear,Career,Not confident,Pre-Medical
Matric,Commerce,Below Average,Biology,Memorization,Problem solving,Somewhat,Yes,Agree,Avoid,No,Exams,Clear,Family,Not confident,Pre-Medical
Matric,Arts,Below Average,Physics,Writing,Creative,Somewhat,Sometimes,Neutral,Keep Trying,No,Exams,Not clear,Career,Not confident,Pre-Engineering
Matric,Pre-Engineering,Excellent,Commerce,Math,Creative,No,Sometimes,Strongly Agree,Keep Trying,Limited,Continuous,Not clear,Interest,Unsure,Arts
O-Level,Pre-Engineering,Good,Arts,Writing,Research,Yes,Yes,Strongly Agree,Keep Trying,No,Continuous,Not clear,Peer,Confident,Pre-Medical
O-Level,Arts,Good,Math,Math,Business,No,No,Strongly Agree,Avoid,No,Continuous,Not clear,Family,Confident,Pre-Engineering
O-Level,Commerce,Excellent,Commerce,Science,Creative,No,No,Neutral,Keep Trying,Yes,Exams,Somewhat,Peer,Confident,Arts
Matric,Arts,Excellent,Commerce,Memorization,Creative,Somewhat,Sometimes,Strongly Agree,Avoid,No,Exams,Clear,Interest,Unsure,Arts
O-Level,Pre-Medical,Excellent,Biology,Writing,Research,Yes,Sometimes,Neutral,Keep Trying,Yes,Exams,Clear,Family,Confident,Pre-Medical
Matric,Pre-Engineering,Below Average,Arts,Science,Business,Yes,Sometimes,Strongly Agree,Ask Help,Limited,Continuous,Not clear,Interest,Unsure,Commerce
Matric,Arts,Average,Biology,Math,Research,Somewhat,Sometimes,Neutral,Ask Help,No,Continuous,Somewhat,Family,Confident,Pre-Medical
O-Level,Pre-Engineering,Below Average,Physics,Writing,Creative,Somewhat,Yes,Strongly Agree,Ask Help,Yes,Exams,Clear,Family,Confident,Pre-Engineering
Matric,Pre-Engineering,Good,Commerce,Memorization,Research,No,No,Strongly Agree,Ask Help,No,Exams,Somewhat,Peer,Not confident,Pre-Medical
Matric,Arts,Excellent,Arts,Math,Problem solving,Somewhat,Sometimes,Disagree,Ask Help,Yes,Exams,Not clear,Interest,Confident,Pre-Engineering
Matric,Arts,Excellent,Commerce,Writing,Problem solving,Somewhat,Sometimes,Neutral,Avoid,Limited,Continuous,Somewhat,Family,Confident,Pre-Engineering
Matric,Pre-Engineering,Good,Arts,Science,Business,No,Yes,Neutral,Keep Trying,Yes,Exams,Not clear,Family,Not confident,Commerce
Matric,Arts,Below Average,Commerce,Science,Problem solving,Somewhat,Sometimes,Agree,Keep Trying,No,Exams,Not clear,Career,Unsure,Pre-Engineering
Matric,Pre-Engineering,Good,Commerce,Writing,Business,No,Sometimes,Disagree,Ask Help,Yes,Continuous,Clear,Career,Confident,Commerce
Matric,Commerce,Good,Physics,Math,Problem solving,Yes,Yes,Neutral,Keep Trying,Limited,Continuous,Somewhat,Interest,Not confident,Pre-Engineering
O-Level,Arts,Excellent,Physics,Memorization,Business,Somewhat,No,Strongly Agree,Keep Trying,Limited,Continuous,Somewhat,Family,Confident,Pre-Engineering
Matric,Commerce,Below Average,Biology,Math,Problem solving,No,Sometimes,Neutral,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
O-Level,Arts,Average,Biology,Writing,Business,No,Yes,Disagree,Ask Help,Limited,Continuous,Somewhat,Peer,Confident,Pre-Medical
O-Level,Pre-Medical,Average,Commerce,Writing,Research,Somewhat,Sometimes,Disagree,Ask Help,Yes,Exams,Not clear,Interest,Confident,Pre-Medical
Matric,Commerce,Average,Math,Writing,Creative,No,Yes,Neutral,Ask Help,No,Continuous,Clear,Career,Not confident,Pre-Engineering
Matric,Pre-Engineering,Good,Arts,Science,Problem solving,Somewhat,Sometimes,Neutral,Keep Trying,No,Continuous,Not clear,Peer,Confident,Pre-Engineering
Matric,Arts,Average,Math,Science,Creative,Somewhat,Sometimes,Strongly Agree,Avoid,No,Exams,Clear,Family,Not confident,Pre-Engineering
O-Level,Pre-Medical,Below Average,Commerce,Writing,Problem solving,No,No,Disagree,Keep Trying,Yes,Continuous,Not clear,Career,Confident,Pre-Engineering
O-Level,Commerce,Good,Biology,Memorization,Research,Yes,Yes,Agree,Avoid,No,Continuous,Somewhat,Family,Not confident,Pre-Medical
O-Level,Pre-Medical,Below Average,Physics,Writing,Research,No,No,Neutral,Ask Help,No,Continuous,Not clear,Peer,Not confident,Pre-Medical
O-Level,Pre-Engineering,Good,Biology,Memorization,Business,Somewhat,No,Strongly Agree,Avoid,Limited,Exams,Not clear,Peer,Unsure,Pre-Medical
Matric,Arts,Excellent,Biology,Science,Problem solving,No,No,Disagree,Avoid,Limited,Continuous,Somewhat,Interest,Confident,Pre-Medical
O-Level,Arts,Average,Biology,Science,Business,Yes,Sometimes,Disagree,Ask Help,No,Continuous,Somewhat,Career,Unsure,Pre-Medical
O-Level,Pre-Medical,Good,Arts,Science,Problem solving,No,No,Neutral,Keep Trying,No,Exams,Not clear,Interest,Unsure,Pre-Engineering
O-Level,Pre-Medical,Excellent,Math,Memorization,Research,No,Sometimes,Disagree,Keep Trying,Yes,Continuous,Not clear,Interest,Confident,Pre-Medical
O-Level,Arts,Excellent,Arts,Memorization,Research,Somewhat,Sometimes,Strongly Agree,Ask Help,Yes,Exams,Not clear,Family,Unsure,Pre-Medical
Matric,Pre-Engineering,Below Average,Arts,Memorization,Problem solving,Yes,Sometimes,Disagree,Ask Help,Yes,Continuous,Somewhat,Peer,Unsure,Pre-Engineering
Matric,Pre-Medical,Excellent,Math,Math,Creative,Somewhat,Sometimes,Neutral,Ask Help,No,Continuous,Not clear,Peer,Confident,Pre-Engineering
O-Level,Pre-Engineering,Below Average,Commerce,Writing,Research,No,No,Neutral,Ask Help,No,Exams,Clear,Family,Confident,Pre-Medical
O-Level,Arts,Average,Commerce,Science,Business,Yes,No,Agree,Ask Help,Yes,Continuous,Somewhat,Career,Not confident,Commerce
Matric,Pre-Engineering,Average,Commerce,Writing,Creative,No,Sometimes,Disagree,Avoid,Yes,Exams,Somewhat,Family,Confident,Arts
O-Level,Arts,Below Average,Commerce,Science,Creative,Yes,Sometimes,Strongly Agree,Keep Trying,No,Exams,Not clear,Family,Confident,Arts
Matric,Arts,Below Average,Physics,Math,Problem solving,Yes,Yes,Agree,Ask Help,No,Exams,Somewhat,Peer,Confident,Pre-Engineering
O-Level,Pre-Engineering,Average,Commerce,Math,Research,No,Sometimes,Neutral,Ask Help,No,Exams,Not clear,Peer,Confident,Pre-Medical
O-Level,Pre-Medical,Average,Arts,Math,Research,Somewhat,Yes,Disagree,Avoid,Yes,Exams,Somewhat,Family,Confident,Pre-Medical
Matric,Commerce,Average,Arts,Writing,Business,Yes,Sometimes,Neutral,Avoid,No,Continuous,Somewhat,Interest,Not confident,Commerce
O-Level,Commerce,Excellent,Arts,Science,Business,Somewhat,No,Disagree,Ask Help,No,Continuous,Not clear,Career,Unsure,Commerce
O-Level,Pre-Medical,Good,Arts,Science,Problem solving,Somewhat,Sometimes,Disagree,Avoid,No,Continuous,Somewhat,Peer,Unsure,Pre-Engineering
O-Level,Pre-Medical,Average,Math,Science,Business,Somewhat,No,Strongly Agree,Ask Help,Yes,Continuous,Somewhat,Family,Confident,Pre-Engineering
O-Level,Commerce,Below Average,Physics,Math,Creative,Yes,Yes,Strongly Agree,Ask Help,No,Exams,Clear,Family,Confident,Pre-Engineering
Matric,Pre-Medical,Below Average,Math,Math,Creative,Somewhat,Sometimes,Strongly Agree,Avoid,Yes,Continuous,Somewhat,Family,Confident,Pre-Engineering
O-Level,Commerce,Average,Physics,Science,Business,No,Yes,Agree,Keep Trying,No,Continuous,Somewhat,Peer,Unsure,Pre-Engineering
Matric,Pre-Medical,Good,Commerce,Math,Research,No,No,Agree,Avoid,No,Continuous,Not clear,Family,Confident,Pre-Medical
Matric,Commerce,Below Average,Math,Science,Research,Yes,Sometimes,Neutral,Avoid,Yes,Exams,Somewhat,Interest,Not confident,Pre-Medical
Matric,Pre-Medical,Excellent,Commerce,Writing,Research,Yes,Sometimes,Strongly Agree,Avoid,No,Continuous,Not clear,Peer,Not confident,Pre-Medical
O-Level,Commerce,Below Average,Commerce,Writing,Business,No,No,Strongly Agree,Ask Help,Yes,Exams,Not clear,Career,Confident,Commerce
Matric,Commerce,Average,Commerce,Memorization,Business,Somewhat,No,Agree,Avoid,Yes,Continuous,Clear,Interest,Not confident,Commerce
O-Level,Pre-Engineering,Average,Arts,Memorization,Research,Somewhat,Sometimes,Strongly Agree,Keep Trying,Yes,Continuous,Clear,Family,Confident,Pre-Medical
O-Level,Pre-Medical,Good,Math,Science,Business,No,Sometimes,Disagree,Ask Help,Yes,Continuous,Somewhat,Career,Confident,Pre-Engineering
Matric,Commerce,Below Average,Biology,Writing,Research,Yes,Yes,Strongly Agree,Keep Trying,No,Exams,Not clear,Career,Not confident,Pre-Medical
O-Level,Pre-Engineering,Excellent,Math,Memorization,Business,No,No,Agree,Keep Trying,Yes,Exams,Not clear,Career,Unsure,Pre-Engineering
Matric,Pre-Engineering,Excellent,Arts,Science,Business,Somewhat,No,Disagree,Ask Help,Limited,Exams,Somewhat,Peer,Confident,Commerce
Matric,Pre-Medical,Good,Biology,Writing,Creative,No,No,Neutral,Avoid,Limited,Continuous,Somewhat,Peer,Unsure,Pre-Medical
O-Level,Commerce,Average,Arts,Science,Research,No,Yes,Neutral,Keep Trying,Limited,Continuous,Somewhat,Family,Unsure,Pre-Medical
O-Level,Pre-Medical,Good,Arts,Science,Creative,Somewhat,No,Agree,Keep Trying,Yes,Continuous,Clear,Career,Confident,Arts
O-Level,Pre-Medical,Average,Biology,Math,Business,No,Yes,Neutral,Keep Trying,Yes,Exams,Clear,Interest,Not confident,Pre-Medical
O-Level,Pre-Engineering,Average,Physics,Memorization,Problem solving,No,Sometimes,Strongly Agree,Ask Help,No,Continuous,Somewhat,Interest,Unsure,Pre-Engineering
O-Level,Arts,Good,Arts,Writing,Research,Somewhat,Yes,Neutral,Keep Trying,Yes,Continuous,Somewhat,Career,Not confident,Pre-Medical
O-Level,Pre-Engineering,Average,Math,Science,Creative,Yes,Yes,Neutral,Avoid,Limited,Exams,Clear,Interest,Confident,Pre-Engineering
Matric,Pre-Engineering,Excellent,Commerce,Writing,Research,Somewhat,Sometimes,Disagree,Ask Help,Yes,Exams,Not clear,Peer,Not confident,Pre-Medical
O-Level,Commerce,Average,Physics,Math,Creative,Yes,No,Strongly Agree,Keep Trying,No,Continuous,Not clear,Family,Not confident,Pre-Engineering
O-Level,Arts,Excellent,Commerce,Math,Creative,Somewhat,Sometimes,Neutral,Keep Trying,Yes,Exams,Somewhat,Career,Unsure,Arts
O-Level,Pre-Engineering,Excellent,Physics,Memorization,Research,Somewhat,No,Disagree,Ask Help,Limited,Exams,Clear,Family,Not confident,Pre-Medical
Matric,Arts,Below Average,Physics,Memorization,Creative,Somewhat,No,Neutral,Keep Trying,No,Continuous,Somewhat,Peer,Unsure,Pre-Engineering
Matric,Arts,Average,Math,Writing,Creative,No,Yes,Agree,Ask Help,Yes,Continuous,Somewhat,Family,Not confident,Pre-Engineering
O-Level,Arts,Below Average,Physics,Writing,Problem solving,Somewhat,No,Disagree,Avoid,Limited,Continuous,Clear,Family,Unsure,Pre-Engineering
O-Level,Pre-Medical,Below Average,Commerce,Math,Problem solving,Yes,Yes,Disagree,Avoid,No,Continuous,Not clear,Family,Unsure,Pre-Engineering
O-Level,Arts,Average,Arts,Science,Creative,Yes,Sometimes,Strongly Agree,Avoid,Limited,Continuous,Somewhat,Family,Unsure,Arts
O-Level,Pre-Medical,Average,Commerce,Math,Business,Yes,Sometimes,Strongly Agree,Avoid,Limited,Continuous,Somewhat,Career,Not confident,Commerce
O-Level,Pre-Engineering,Excellent,Arts,Writing,Business,Somewhat,Yes,Agree,Avoid,Yes,Exams,Not clear,Family,Unsure,Commerce
Matric,Pre-Medical,Below Average,Math,Writing,Business,Somewhat,No,Disagree,Avoid,No,Continuous,Somewhat,Interest,Unsure,Pre-Engineering
Matric,Pre-Medical,Below Average,Math,Memorization,Business,No,Sometimes,Strongly Agree,Ask Help,Limited,Continuous,Somewhat,Family,Not confident,Pre-Engineering
O-Level,Arts,Excellent,Math,Math,Business,Somewhat,Yes,Agree,Avoid,Yes,Exams,Clear,Family,Confident,Pre-Engineering
O-Level,Pre-Engineering,Average,Math,Science,Creative,No,Yes,Agree,Avoid,Limited,Exams,Somewhat,Interest,Not confident,Pre-Engineering
Matric,Pre-Engineering,Excellent,Math,Writing,Research,No,Yes,Disagree,Ask Help,No,Continuous,Somewhat,Career,Confident,Pre-Medical
O-Level,Arts,Below Average,Commerce,Math,Business,Yes,Sometimes,Agree,Ask Help,Limited,Exams,Somewhat,Family,Unsure,Commerce
O-Level,Pre-Medical,Excellent,Biology,Memorization,Business,Somewhat,Sometimes,Strongly Agree,Ask Help,Yes,Exams,Not clear,Interest,Not confident,Pre-Medical
O-Level,Commerce,Excellent,Commerce,Writing,Business,Somewhat,No,Agree,Avoid,No,Exams,Not clear,Career,Confident,Commerce
Matric,Pre-Engineering,Excellent,Arts,Memorization,Research,No,Yes,Strongly Agree,Avoid,Limited,Continuous,Clear,Family,Not confident,Pre-Medical
O-Level,Pre-Medical,Average,Commerce,Memorization,Creative,Somewhat,No,Disagree,Avoid,Yes,Exams,Clear,Peer,Confident,Arts
O-Level,Pre-Medical,Excellent,Physics,Science,Research,No,No,Disagree,Avoid,No,Exams,Somewhat,Peer,Confident,Pre-Medical
Matric,Commerce,Below Average,Biology,Math,Business,Somewhat,No,Agree,Ask Help,Limited,Exams,Clear,Career,Not confident,Pre-Medical
O-Level,Commerce,Excellent,Biology,Science,Business,No,Yes,Disagree,Keep Trying,Yes,Exams,Not clear,Interest,Not confident,Pre-Medical
O-Level,Pre-Engineering,Excellent,Math,Writing,Business,Yes,Yes,Disagree,Avoid,No,Continuous,Clear,Career,Confident,Pre-Engineering
Matric,Pre-Medical,Good,Arts,Memorization,Business,Somewhat,Sometimes,Disagree,Keep Trying,Yes,Exams,Clear,Peer,Confident,Commerce
O-Level,Commerce,Below Average,Biology,Memorization,Research,Yes,Sometimes,Strongly Agree,Keep Trying,No,Exams,Somewhat,Career,Unsure,Pre-Medical
O-Level,Commerce,Good,Biology,Science,Business,Yes,No,Agree,Avoid,Limited,Continuous,Not clear,Career,Unsure,Pre-Medical
Matric,Pre-Engineering,Good,Math,Math,Creative,No,No,Disagree,Avoid,Yes,Continuous,Clear,Peer,Unsure,Pre-Engineering
Matric,Pre-Medical,Below Average,Biology,Writing,Creative,No,Sometimes,Disagree,Keep Trying,Yes,Exams,Not clear,Family,Unsure,Pre-Medical
Matric,Arts,Below Average,Physics,Science,Business,No,No,Neutral,Ask Help,Yes,Exams,Clear,Career,Not confident,Pre-Engineering
Matric,Arts,Average,Arts,Writing,Research,No,No,Disagree,Avoid,No,Continuous,Clear,Interest,Confident,Pre-Medical
Matric,Commerce,Good,Math,Science,Research,No,No,Disagree,Ask Help,Yes,Continuous,Somewhat,Family,Confident,Pre-Medical
O-Level,Arts,Excellent,Physics,Memorization,Creative,Yes,No,Disagree,Avoid,Limited,Continuous,Not clear,Interest,Unsure,Pre-Engineering
Matric,Pre-Engineering,Excellent,Biology,Math,Creative,No,Yes,Strongly Agree,Ask Help,Limited,Continuous,Clear,Family,Unsure,Pre-Medical
Matric,Commerce,Average,Commerce,Math,Research,Somewhat,Yes,Neutral,Avoid,Limited,Exams,Somewhat,Career,Not confident,Pre-Medical
Matric,Arts,Average,Physics,Science,Creative,Somewhat,No,Neutral,Keep Trying,Limited,Exams,Clear,Career,Confident,Pre-Engineering
O-Level,Commerce,Excellent,Physics,Science,Research,Yes,No,Agree,Keep Trying,No,Continuous,Somewhat,Family,Not confident,Pre-Medical
Matric,Arts,Good,Arts,Memorization,Research,No,Sometimes,Agree,Keep Trying,Yes,Continuous,Somewhat,Interest,Unsure,Pre-Medical
O-Level,Pre-Medical,Below Average,Arts,Math,Research,Somewhat,Yes,Neutral,Avoid,No,Continuous,Somewhat,Family,Unsure,Pre-Medical
Matric,Commerce,Average,Physics,Memorization,Research,Yes,Yes,Disagree,Avoid,Limited,Continuous,Somewhat,Career,Unsure,Pre-Medical
O-Level,Commerce,Excellent,Physics,Math,Problem solving,Yes,Sometimes,Strongly Agree,Ask Help,No,Exams,Somewhat,Peer,Confident,Pre-Engineering
O-Level,Pre-Medical,Excellent,Math,Science,Business,No,Sometimes,Disagree,Keep Trying,Yes,Exams,Not clear,Peer,Unsure,Pre-Engineering
Matric,Pre-Engineering,Below Average,Arts,Memorization,Problem solving,No,Yes,Disagree,Ask Help,Yes,Continuous,Clear,Peer,Confident,Pre-Engineering
O-Level,Arts,Average,Arts,Science,Research,Yes,No,Agree,Keep Trying,Yes,Continuous,Somewhat,Career,Not confident,Pre-Medical
O-Level,Arts,Excellent,Biology,Science,Problem solving,No,Sometimes,Neutral,Keep Trying,Limited,Exams,Clear,Career,Confident,Pre-Medical
